id_contrato,id_cliente,id_producto,fecha_contrato
1.0,221,14,2024-06-17 00:00:00.000000
2.0,463,29,2022-04-02 00:00:00.000000
3.0,234,14,2023-08-07 00:00:00.000000
4.0,348,27,2024-05-02 00:00:00.000000
5.0,465,13,2024-04-15 00:00:00.000000
6.0,426,24,2023-06-27 00:00:00.000000
7.0,98,11,2025-01-03 00:00:00.000000
8.0,438,11,2024-06-10 00:00:00.000000
9.0,682,9,2024-11-21 00:00:00.000000
10.0,384,5,2022-04-10 00:00:00.000000
11.0,704,30,2024-04-10 00:00:00.000000
12.0,486,3,2023-11-22 00:00:00.000000
13.0,94,27,2023-12-29 00:00:00.000000
14.0,88,3,2025-03-21 00:00:00.000000
15.0,443,4,2024-12-03 00:00:00.000000
16.0,763,24,2022-11-19 00:00:00.000000
17.0,382,26,2022-10-09 00:00:00.000000
18.0,134,18,2022-08-09 00:00:00.000000
19.0,62,19,2023-05-18 00:00:00.000000
20.0,980,18,2022-04-01 00:00:00.000000
21.0,576,11,2023-04-04 00:00:00.000000
22.0,687,4,2024-12-13 00:00:00.000000
23.0,421,12,2023-08-09 00:00:00.000000
24.0,895,22,2023-04-03 00:00:00.000000
25.0,964,25,2024-12-13 00:00:00.000000
26.0,434,28,2022-11-07 00:00:00.000000
27.0,938,24,2023-01-07 00:00:00.000000
28.0,53,10,2023-10-10 00:00:00.000000
29.0,615,10,2023-10-18 00:00:00.000000
30.0,361,4,2024-11-02 00:00:00.000000
31.0,592,17,2025-03-22 00:00:00.000000
32.0,218,5,2024-03-04 00:00:00.000000
33.0,673,16,2024-02-26 00:00:00.000000
34.0,230,28,2022-07-04 00:00:00.000000
35.0,111,12,2024-07-04 00:00:00.000000
36.0,866,18,2022-08-26 00:00:00.000000
37.0,377,4,2024-07-16 00:00:00.000000
38.0,781,9,2022-05-29 00:00:00.000000
39.0,588,8,2025-01-29 00:00:00.000000
40.0,827,14,2023-03-25 00:00:00.000000
41.0,866,18,2022-10-07 00:00:00.000000
42.0,998,25,2022-08-28 00:00:00.000000
43.0,839,20,2022-09-23 00:00:00.000000
44.0,629,22,2025-01-10 00:00:00.000000
45.0,659,18,2022-07-09 00:00:00.000000
46.0,27,20,2023-06-27 00:00:00.000000
47.0,952,22,2023-01-02 00:00:00.000000
48.0,850,23,2023-06-22 00:00:00.000000
49.0,274,1,2023-10-15 00:00:00.000000
50.0,185,9,2023-10-09 00:00:00.000000
51.0,720,25,2023-06-04 00:00:00.000000
52.0,317,30,2022-07-08 00:00:00.000000
53.0,348,12,2024-08-01 00:00:00.000000
54.0,7,6,2024-02-09 00:00:00.000000
55.0,891,5,2024-02-24 00:00:00.000000
56.0,580,22,2024-04-13 00:00:00.000000
57.0,411,3,2023-03-04 00:00:00.000000
58.0,146,24,2024-06-19 00:00:00.000000
59.0,649,1,2024-03-08 00:00:00.000000
60.0,94,24,2022-07-14 00:00:00.000000
61.0,544,7,2023-06-19 00:00:00.000000
62.0,386,14,2023-12-12 00:00:00.000000
63.0,465,11,2024-03-24 00:00:00.000000
64.0,162,12,2023-09-16 00:00:00.000000
65.0,320,24,2023-06-16 00:00:00.000000
66.0,333,25,2022-09-23 00:00:00.000000
67.0,965,19,2023-04-04 00:00:00.000000
68.0,611,3,2023-03-16 00:00:00.000000
69.0,905,2,2024-02-21 00:00:00.000000
70.0,160,6,2023-12-16 00:00:00.000000
71.0,773,20,2023-06-06 00:00:00.000000
72.0,51,22,2022-07-25 00:00:00.000000
73.0,84,9,2024-04-08 00:00:00.000000
74.0,454,22,2024-10-24 00:00:00.000000
75.0,435,16,2023-01-29 00:00:00.000000
76.0,622,15,2022-11-20 00:00:00.000000
77.0,425,9,2022-10-26 00:00:00.000000
78.0,221,25,2023-12-24 00:00:00.000000
79.0,525,4,2025-01-19 00:00:00.000000
80.0,354,14,2023-07-24 00:00:00.000000
81.0,114,10,2023-12-24 00:00:00.000000
82.0,695,22,2023-01-01 00:00:00.000000
83.0,608,16,2024-05-19 00:00:00.000000
84.0,540,22,2025-01-23 00:00:00.000000
85.0,316,2,2022-05-10 00:00:00.000000
86.0,226,13,2024-11-25 00:00:00.000000
87.0,614,2,2024-09-09 00:00:00.000000
88.0,8,7,2024-01-28 00:00:00.000000
89.0,309,7,2023-06-03 00:00:00.000000
90.0,786,5,2024-08-17 00:00:00.000000
91.0,783,9,2024-04-04 00:00:00.000000
92.0,297,11,2024-10-02 00:00:00.000000
93.0,123,1,2024-07-09 00:00:00.000000
94.0,510,24,2024-07-13 00:00:00.000000
95.0,441,6,2024-01-28 00:00:00.000000
96.0,133,13,2023-06-06 00:00:00.000000
97.0,546,23,2024-06-24 00:00:00.000000
98.0,236,17,2022-05-22 00:00:00.000000
99.0,573,27,2024-03-08 00:00:00.000000
100.0,685,26,2024-03-01 00:00:00.000000
101.0,363,3,2023-08-16 00:00:00.000000
102.0,407,28,2023-08-05 00:00:00.000000
103.0,760,2,2023-03-05 00:00:00.000000
104.0,447,1,2024-08-18 00:00:00.000000
105.0,471,30,2024-06-06 00:00:00.000000
106.0,80,28,2022-12-04 00:00:00.000000
107.0,321,19,2025-02-18 00:00:00.000000
108.0,440,19,2023-01-09 00:00:00.000000
109.0,415,23,2023-12-09 00:00:00.000000
110.0,656,14,2023-10-18 00:00:00.000000
111.0,297,4,2022-11-25 00:00:00.000000
112.0,415,1,2022-04-23 00:00:00.000000
113.0,990,11,2022-07-19 00:00:00.000000
114.0,176,26,2024-06-20 00:00:00.000000
115.0,971,20,2024-04-20 00:00:00.000000
116.0,472,27,2024-04-06 00:00:00.000000
117.0,707,30,2024-01-25 00:00:00.000000
118.0,371,3,2022-07-13 00:00:00.000000
119.0,448,28,2023-06-25 00:00:00.000000
120.0,109,8,2023-03-10 00:00:00.000000
121.0,447,19,2025-01-08 00:00:00.000000
122.0,411,17,2023-04-23 00:00:00.000000
123.0,81,13,2024-10-12 00:00:00.000000
124.0,892,10,2024-07-27 00:00:00.000000
125.0,764,11,2024-07-30 00:00:00.000000
126.0,227,11,2024-01-01 00:00:00.000000
127.0,798,6,2023-05-20 00:00:00.000000
128.0,79,17,2024-12-30 00:00:00.000000
129.0,649,4,2023-04-04 00:00:00.000000
130.0,544,17,2023-09-19 00:00:00.000000
131.0,199,29,2022-11-07 00:00:00.000000
132.0,795,12,2025-03-06 00:00:00.000000
133.0,360,24,2024-11-17 00:00:00.000000
134.0,982,27,2022-11-07 00:00:00.000000
135.0,661,27,2022-05-06 00:00:00.000000
136.0,152,8,2024-09-16 00:00:00.000000
137.0,106,5,2024-12-26 00:00:00.000000
138.0,263,7,2022-12-25 00:00:00.000000
139.0,178,20,2024-12-16 00:00:00.000000
140.0,157,25,2022-08-11 00:00:00.000000
141.0,778,21,2022-09-23 00:00:00.000000
142.0,78,6,2024-01-10 00:00:00.000000
143.0,975,25,2023-06-20 00:00:00.000000
144.0,644,16,2023-12-07 00:00:00.000000
145.0,476,25,2022-09-07 00:00:00.000000
146.0,578,25,2024-01-02 00:00:00.000000
147.0,594,15,2024-05-07 00:00:00.000000
148.0,698,30,2022-07-25 00:00:00.000000
149.0,904,19,2023-12-05 00:00:00.000000
150.0,659,21,2024-01-19 00:00:00.000000
151.0,640,11,2024-05-11 00:00:00.000000
152.0,885,21,2024-12-16 00:00:00.000000
153.0,324,5,2025-01-03 00:00:00.000000
154.0,451,3,2024-10-19 00:00:00.000000
155.0,481,15,2022-11-02 00:00:00.000000
156.0,647,10,2024-01-14 00:00:00.000000
157.0,816,9,2022-05-27 00:00:00.000000
158.0,606,2,2023-11-13 00:00:00.000000
159.0,361,17,2022-10-27 00:00:00.000000
160.0,76,10,2023-05-17 00:00:00.000000
161.0,473,15,2023-11-09 00:00:00.000000
162.0,39,2,2024-02-08 00:00:00.000000
163.0,378,27,2023-03-31 00:00:00.000000
164.0,294,3,2022-07-04 00:00:00.000000
165.0,661,28,2024-02-24 00:00:00.000000
166.0,876,3,2024-12-12 00:00:00.000000
167.0,630,20,2024-05-13 00:00:00.000000
168.0,520,13,2023-09-10 00:00:00.000000
169.0,474,19,2024-08-24 00:00:00.000000
170.0,568,26,2022-04-23 00:00:00.000000
171.0,757,29,2025-03-23 00:00:00.000000
172.0,43,15,2023-09-04 00:00:00.000000
173.0,931,26,2024-11-18 00:00:00.000000
174.0,586,21,2022-09-15 00:00:00.000000
175.0,193,11,2023-10-30 00:00:00.000000
176.0,620,16,2025-03-22 00:00:00.000000
177.0,514,5,2024-06-16 00:00:00.000000
178.0,981,2,2024-06-29 00:00:00.000000
179.0,462,4,2022-04-07 00:00:00.000000
180.0,831,29,2022-11-05 00:00:00.000000
181.0,858,11,2024-05-13 00:00:00.000000
182.0,732,3,2024-11-24 00:00:00.000000
183.0,517,21,2024-02-04 00:00:00.000000
184.0,177,2,2022-05-16 00:00:00.000000
185.0,254,23,2023-04-24 00:00:00.000000
186.0,449,15,2024-03-31 00:00:00.000000
187.0,537,17,2024-10-08 00:00:00.000000
188.0,625,6,2023-03-03 00:00:00.000000
189.0,373,12,2022-08-07 00:00:00.000000
190.0,940,10,2023-08-28 00:00:00.000000
191.0,397,14,2023-12-12 00:00:00.000000
